Paese,Regione/Stato,Zip/Codice postale,Subtotale ordine (e superiore),Prezzo spedizione
ITA,*,38039,0.0000,0.0000
ITA,*,38041,0.0000,0.0000
ITA,*,38048,0.0000,0.0000
ITA,*,38070,0.0000,0.0000
ITA,*,38071,0.0000,0.0000
ITA,*,38077,0.0000,0.0000
ITA,*,38080,0.0000,0.0000
ITA,*,38089,0.0000,0.0000
ITA,*,39010,0.0000,0.0000
ITA,*,39011,0.0000,0.0000
ITA,*,39016,0.0000,0.0000
ITA,*,39020,0.0000,0.0000
ITA,*,39021,0.0000,0.0000
ITA,*,39024,0.0000,0.0000
ITA,*,39026,0.0000,0.0000
ITA,*,39027,0.0000,0.0000
ITA,*,39029,0.0000,0.0000
ITA,*,39030,0.0000,0.0000
ITA,*,39032,0.0000,0.0000
ITA,*,39033,0.0000,0.0000
ITA,*,39040,0.0000,0.0000
ITA,*,39043,0.0000,0.0000
ITA,*,39050,0.0000,0.0000
ITA,*,39054,0.0000,0.0000
ITA,*,39056,0.0000,0.0000
ITA,*,39058,0.0000,0.0000
ITA,*,40025,0.0000,0.0000
ITA,*,41045,0.0000,0.0000
ITA,*,42035,0.0000,0.0000
ITA,*,43025,0.0000,0.0000
ITA,*,45010,0.0000,0.0000
ITA,*,48013,0.0000,0.0000
ITA,*,50034,0.0000,0.0000
ITA,*,51021,0.0000,0.0000
ITA,*,51028,0.0000,0.0000
ITA,*,53024,0.0000,0.0000
ITA,*,53030,0.0000,0.0000
ITA,*,56045,0.0000,0.0000
ITA,*,57030,0.0000,0.0000
ITA,*,57031,0.0000,0.0000
ITA,*,57032,0.0000,0.0000
ITA,*,57033,0.0000,0.0000
ITA,*,57034,0.0000,0.0000
ITA,*,57036,0.0000,0.0000
ITA,*,57037,0.0000,0.0000
ITA,*,57038,0.0000,0.0000
ITA,*,57039,0.0000,0.0000
ITA,*,57128,0.0000,0.0000
ITA,*,58012,0.0000,0.0000
ITA,*,58019,0.0000,0.0000
ITA,*,58044,0.0000,0.0000
ITA,*,59024,0.0000,0.0000
ITA,*,62024,0.0000,0.0000
ITA,*,62025,0.0000,0.0000
ITA,*,63096,0.0000,0.0000
ITA,*,64010,0.0000,0.0000
ITA,*,64020,0.0000,0.0000
ITA,*,64030,0.0000,0.0000
ITA,*,64031,0.0000,0.0000
ITA,*,64033,0.0000,0.0000
ITA,*,64037,0.0000,0.0000
ITA,*,64042,0.0000,0.0000
ITA,*,64043,0.0000,0.0000
ITA,*,65010,0.0000,0.0000
ITA,*,66040,0.0000,0.0000
ITA,*,67013,0.0000,0.0000
ITA,*,67020,0.0000,0.0000
ITA,*,67030,0.0000,0.0000
ITA,*,67049,0.0000,0.0000
ITA,*,71023,0.0000,0.0000
ITA,*,71040,0.0000,0.0000
ITA,*,80030,0.0000,0.0000
ITA,*,80051,0.0000,0.0000
ITA,*,80070,0.0000,0.0000
ITA,*,80071,0.0000,0.0000
ITA,*,80073,0.0000,0.0000
ITA,*,80074,0.0000,0.0000
ITA,*,80075,0.0000,0.0000
ITA,*,80076,0.0000,0.0000
ITA,*,80077,0.0000,0.0000
ITA,*,80079,0.0000,0.0000
ITA,*,82024,0.0000,0.0000
ITA,*,82028,0.0000,0.0000
ITA,*,84050,0.0000,0.0000
ITA,*,85046,0.0000,0.0000
ITA,*,86016,0.0000,0.0000
ITA,*,86021,0.0000,0.0000
ITA,*,86027,0.0000,0.0000
ITA,*,86029,0.0000,0.0000
ITA,*,86043,0.0000,0.0000
ITA,*,87014,0.0000,0.0000
ITA,*,87015,0.0000,0.0000
ITA,*,87020,0.0000,0.0000
ITA,*,87035,0.0000,0.0000
ITA,*,87050,0.0000,0.0000
ITA,*,87051,0.0000,0.0000
ITA,*,87066,0.0000,0.0000
ITA,*,87070,0.0000,0.0000
ITA,*,87073,0.0000,0.0000
ITA,*,88822,0.0000,0.0000
ITA,*,88823,0.0000,0.0000
ITA,*,88825,0.0000,0.0000
ITA,*,89012,0.0000,0.0000
ITA,*,89030,0.0000,0.0000
ITA,*,89040,0.0000,0.0000
ITA,*,89043,0.0000,0.0000
ITA,*,89049,0.0000,0.0000
ITA,*,90010,0.0000,0.0000
ITA,*,91010,0.0000,0.0000
ITA,*,91017,0.0000,0.0000
ITA,*,91023,0.0000,0.0000
ITA,*,92010,0.0000,0.0000
ITA,*,98050,0.0000,0.0000
ITA,*,98055,0.0000,0.0000
